Cluster_K13,FG_per36,FGA_per36,3P_per36,3PA_per36,2P_per36,2PA_per36,FT_per36,FTA_per36,ORB_per36,DRB_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,PTS_per36
0,6.1289934111368,14.069914142897131,3.049212029330497,8.025133337718314,3.091000745729856,6.037770797344707,1.7910532645627077,2.223431478360725,0.9182617073442779,3.9790197178032893,4.906423071137547,2.5554745314421012,1.0149762204386845,0.3564827468214683,1.4976876486234907,2.5210667576318695,17.121022224254595
1,7.237616501696164,12.813114360968203,0.6494681414286364,1.983291849005871,6.603463140693162,10.830128120973704,3.1278685661965175,4.450508264207892,3.2793738791889453,7.95338241082929,11.241032575964713,2.448351594569787,0.8688207113088786,1.262325034338817,2.1682436767925144,3.9506406915900585,18.265449751898082
2,7.9112665013740004,17.012428257442867,2.159416972573569,5.868379605663802,5.761394983345887,11.14873851004332,4.51816191934662,5.4600056495722615,0.842001270586394,3.724642453626392,4.565657655595711,3.4309244813105777,0.9596471827405956,0.331023748162232,2.080515384835095,2.491264767303755,22.51567529258088
3,4.727507066664227,11.15092710441124,2.0647685766835138,5.818890059552963,2.670090746022121,5.33131386084031,1.692054978156113,2.1273930610535827,0.7048228529542914,3.1579472874651544,3.832758763383956,4.336063712725137,1.2172806168590498,0.36969378580087375,1.8183125445182586,2.6597415270425673,13.203718261105765
4,5.41423580056926,11.572436876504236,1.4607943463919362,4.43170708581924,3.9544479318879002,7.125859925305501,2.2665302821947453,3.0718931878073943,2.148158356509483,5.696923532365278,7.842096698971866,2.457577536358107,1.0120652045355292,0.7900159247925342,1.7083071515617838,3.670844727522323,14.528834994731689
5,7.35388656767442,16.88411172178361,2.8226950315066577,7.608086847130253,4.5314291006905,9.267073734040777,2.999702851090749,3.6599627443423053,0.7498707581247831,3.7133675047558086,4.465337448214815,6.330620378207009,1.147546606274964,0.4015813016122348,2.795176511253115,2.485607078852576,20.51764497794118
6,3.9484819942523464,9.37857210666251,2.1927894428019,6.065066674382525,1.7572530074366055,3.3201383766129275,1.1008077126145324,1.4224591563776008,1.1662134546153078,4.082022679791867,5.238007675627115,2.1340777259690977,0.9159956637356961,0.5938672694349428,1.1139896777483071,3.212804906888063,11.171494413475628
7,3.8932010146371585,8.105131250669105,0.909573885913308,2.6176415144505394,2.989236260846294,5.502623367702549,1.2408771858321017,1.728331239059888,1.9682349849202927,5.309357642249433,7.301689854915516,3.3970378357029474,1.8723667565853273,0.7713334643378558,1.6466814269910792,3.677365609826441,9.930641654393627
8,5.1516686593283545,8.299130726173084,0.08786919516196884,0.3887652436000579,5.063768872893567,7.878716376679032,1.936097003713579,3.0956835138875824,4.2851128430173935,7.016799232347479,11.315828327441665,2.0265035211756697,0.9643920449400619,1.990072467154232,1.7750384890899764,4.4979205335182195,12.390427067572322
9,10.514942637319397,19.13331806768234,0.9186788946741752,2.8032469684790327,9.572629600561088,16.34194053540509,7.701799852871446,9.666183889731657,1.944448309808191,7.179084964075266,9.100950544897808,6.08150408393259,1.255013654386737,1.040216130790762,3.299620238527003,2.5524344688487783,29.674374444710388
10,8.983280267661613,18.794087796662595,2.1962643801597714,6.259977810934242,6.776579590739963,12.533786736899115,4.5373352472050845,5.571837005034537,1.2065858142268413,5.63790782366689,6.845813636026873,5.429193966428985,1.02013486392543,0.6054457514258855,2.975624271584619,2.6540183091846488,24.70618736089596
11,5.64407956843602,12.455505835710722,1.2652196094321764,3.749033440230277,4.378201919590325,8.720947053571605,2.5856431527092325,3.2239607020505274,0.9801307011454273,3.8988353549083516,4.882818960062714,5.813871358347404,1.4660347510673188,0.5201666498645805,2.295816087852386,2.87551402691091,15.141455956818895
12,9.755762832489571,20.720937852050866,3.465551628517205,9.355761830207616,6.290211203972367,11.36517602184325,7.269973771942548,8.489708043821768,0.8431900525429687,5.422842178505891,6.26603223104886,7.354204519438968,1.0859293044564073,0.39922378522525154,3.4486740198434758,2.028755408606728,30.225124325849528
